publication_id,mentor_id,link,abstract,publication_date
11,16,https://pubs.geoscienceworld.org/ssa/tsr/article/1/3/126/609317,"Seismic wave propagation forms the basis for most aspects of seismological research, yet solving the wave equation is a major computational burden that inhibits the progress of research. This is exacerbated by the fact that new simulations must be performed whenever the velocity structure or source location is perturbed. Here, we explore a prototype framework for learning general solutions using a recently developed machine learning paradigm called neural operator. A trained neural operator can compute a solution in negligible time for any velocity structure or source location. We develop a scheme to train neural operators on an ensemble of simulations performed with random velocity models and source locations. As neural operators are grid free, it is possible to evaluate solutions on higher resolution velocity models than trained on, providing additional computational efficiency. We illustrate the method …",2021-10-01
12,17,https://authors.library.caltech.edu/records/yzd3w-17758/files/2211.15188.pdf?download=1,"Recently, neural networks have proven their impressive ability to solve partial differential equations (PDEs). Among them, Fourier neural operator (FNO) has shown success in learning solution operators for highly non-linear problems such as turbulence flow. FNO is discretization-invariant, where it can be trained on low-resolution data and generalizes to problems with high-resolution. This property is related to the low-pass filters in FNO, where only a limited number of frequency modes are selected to propagate information. However, it is still a challenge to select an appropriate number of frequency modes and training resolution for different PDEs. Too few frequency modes and low-resolution data hurt generalization, while too many frequency modes and high-resolution data are computationally expensive and lead to over-fitting. To this end, we propose Incremental Fourier Neural Operator (IFNO), which augments both the frequency modes and data resolution incrementally during training. We show that IFNO achieves better generalization (around 15% reduction on testing L2 loss) while reducing the computational cost by 35%, compared to the standard FNO. In addition, we observe that IFNO follows the behavior of implicit regularization in FNO, which explains its excellent generalization ability.",2022-11-01
13,18,https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2828787,"The interest in legged robots has, over recent years, grown significantly more prominent. With several industries looking to capitalize on robotics technology, the need for robust, safe, and efficient robotic platforms becomes larger and larger. The promise of legged robots comes with an expectation to navigate rugged terrains. Furthermore, safely managing these environments and executing autonomous missions heavily tax platforms. The importance of versatile, robust, and highly dynamic legged robots have, as a consequence, never been more relevant. This thesis focuses on the design and control of a torque controllable quadrupedal robot. In contrast to recent well-renowned quadrupeds, where leg configurations typically are mammal-like, the quadrupedal robot ASTRo is built with a sprawling-like configuration. Inspired by elements found in nature, a sprawling posture offer advantages for navigating rugged terrain and overcoming significant obstacles relative to its body size. In each of ASTRo's twelve joints, proprioceptive electric actuators provide precise torque control such that highly dynamic locomotion can be achieved. The development of highly dynamic legged robots requires dealing with both the inherent hybrid nature of legged systems and the high-dimensional, nonlinear, and underactuated system dynamics. To this end, we investigate and present a concept for whole-body control based on hierarchical optimization with inverse dynamics control. By decomposing the complex behavior of the system into a set of tasks, the hierarchical optimization controller can facilitate the desired behavior by solving the set of tasks in a strictly …",2021-11-09
14,19,https://www.mdpi.com/1424-8220/22/21/8541,"Spacecraft relative pose estimation for an uncooperative spacecraft is challenging because the target spacecraft neither provides sensor information to a chaser spacecraft nor contains markers that assist vision-based navigation. Moreover, the chaser does not have prior pose estimates when initiating the pose estimation. This paper proposes a new monocular pose estimation algorithm that addresses these issues in pose initialization situations for a known but uncooperative target spacecraft. The proposed algorithm finds convexity defect features from a target image and uses them as cues for matching feature points on the image to the points on the known target model. Based on this novel method for model matching, it estimates a pose by solving the PnP problem. Pose estimation simulations are carried out in three test scenarios, and each assesses the estimation accuracy and initialization performance by varying relative attitudes and distances. The simulation results show that the algorithm can estimate the poses of spacecraft models when a solar panel length and the number of solar panels are changed. Furthermore, a scenario considering the surface property of the spacecraft emphasizes that robust feature detection is essential for accurate pose estimation. This algorithm can be used for proximity operations with a known but uncooperative target spacecraft. Specifically, one of the main applications is relative navigation for on-orbit servicing.",2022-11-06
15,20,https://arxiv.org/pdf/2104.09425,"While additional training data improves the robustness of deep neural networks against adversarial examples, it presents the challenge of curating a large number of specific real-world samples. We circumvent this challenge by using additional data from proxy distributions learned by advanced generative models. We first seek to formally understand the transfer of robustness from classifiers trained on proxy distributions to the real data distribution. We prove that the difference between the robustness of a classifier on the two distributions is upper bounded by the conditional Wasserstein distance between them. Next we use proxy distributions to significantly improve the performance of adversarial training on five different datasets. For example, we improve robust accuracy by up to 7.5% and 6.7% in  and  threat model over baselines that are not using proxy distributions on the CIFAR-10 dataset. We also improve certified robust accuracy by 7.6% on the CIFAR-10 dataset. We further demonstrate that different generative models bring a disparate improvement in the performance in robust training. We propose a robust discrimination approach to characterize the impact of individual generative models and further provide a deeper understanding of why current state-of-the-art in diffusion-based generative models are a better choice for proxy distribution than generative adversarial networks.",2021-04-19
16,23,https://quantum-journal.org/papers/q-2021-12-07-600/pdf/,"Completely positive and trace-preserving maps characterize physically implementable quantum operations. On the other hand, general linear maps, such as positive but not completely positive maps, which can not be physically implemented, are fundamental ingredients in quantum information, both in theoretical and practical perspectives. This raises the question of how well one can simulate or approximate the action of a general linear map by physically implementable operations. In this work, we introduce a systematic framework to resolve this task using the quasiprobability decomposition technique. We decompose a target linear map into a linear combination of physically implementable operations and introduce the $\textit {physical implementability} $ measure as the least amount of negative portion that the quasiprobability must pertain, which directly quantifies the cost of simulating a given map using physically implementable quantum operations. We show this measure is efficiently computable by semidefinite programs and prove several properties of this measure, such as faithfulness, additivity, and unitary invariance. We derive lower and upper bounds in terms of the Choi operator's trace norm and obtain analytic expressions for several linear maps of practical interests. Furthermore, we endow this measure with an operational meaning within the quantum error mitigation scenario: it establishes the lower bound of the sampling cost achievable via the quasiprobability decomposition technique. In particular, for parallel quantum noises, we show that global error mitigation has no advantage over local error mitigation.",2021-12-07
17,30,https://ieeexplore.ieee.org/iel7/8359997/8363198/08363873.pdf,"Single-Particle Reconstruction (SPR) in Cryo-Electron Microscopy (cryo-EM) is the task of estimating the 3D structure of a molecule from a set of noisy 2D projections, taken from unknown viewing directions. Many algorithms for SPR start from an initial reference molecule, and alternate between refining the estimated viewing angles given the molecule, and refining the molecule given the viewing angles. This scheme is called iterative refinement. Reliance on an initial, user-chosen reference introduces model bias, and poor initialization can lead to slow convergence. Furthermore, since no ground truth is available for an unsolved molecule, it is difficult to validate the obtained results. This creates the need for high quality ab initio models that can be quickly obtained from experimental data with minimal priors, and which can also be used for validation. We propose a procedure to obtain such an ab initio model directly …",2018-04-04
18,31,https://arxiv.org/pdf/2010.08895.pdf?trk=public_post_comment-text,"The classical development of neural networks has primarily focused on learning mappings between finite-dimensional Euclidean spaces. Recently, this has been generalized to neural operators that learn mappings between function spaces. For partial differential equations (PDEs), neural operators directly learn the mapping from any functional parametric dependence to the solution. Thus, they learn an entire family of PDEs, in contrast to classical methods which solve one instance of the equation. In this work, we formulate a new neural operator by parameterizing the integral kernel directly in Fourier space, allowing for an expressive and efficient architecture. We perform experiments on Burgers' equation, Darcy flow, and Navier-Stokes equation. The Fourier neural operator is the first ML-based method to successfully model turbulent flows with zero-shot super-resolution. It is up to three orders of magnitude faster compared to traditional PDE solvers. Additionally, it achieves superior accuracy compared to previous learning-based solvers under fixed resolution.",2020-10-18
19,32,https://proceedings.neurips.cc/paper_files/paper/2019/file/9f36407ead0629fc166f14dde7970f68-Paper.pdf,"We study online convex optimization in a setting where the learner seeks to minimize the sum of a per-round hitting cost and a movement cost which is incurred when changing decisions between rounds. We prove a new lower bound on the competitive ratio of any online algorithm in the setting where the costs are -strongly convex and the movement costs are the squared  norm. This lower bound shows that no algorithm can achieve a competitive ratio that is  as  tends to zero. No existing algorithms have competitive ratios matching this bound, and we show that the state-of-the-art algorithm, Online Balanced Decent (OBD), has a competitive ratio that is . We additionally propose two new algorithms, Greedy OBD (G-OBD) and Regularized OBD (R-OBD) and prove that both algorithms have an  competitive ratio. The result for G-OBD holds when the hitting costs are quasiconvex and the movement costs are the squared  norm, while the result for R-OBD holds when the hitting costs are -strongly convex and the movement costs are Bregman Divergences. Further, we show that R-OBD simultaneously achieves constant, dimension-free competitive ratio and sublinear regret when hitting costs are strongly convex.",2019-05-29
20,34,https://ieeexplore.ieee.org/iel7/9605247/9605263/09605341.pdf,"Quantum sensing is an important application of emerging quantum technologies. We explore whether a hybrid system of quantum sensors and quantum circuits can surpass the classical limit of sensing. In particular, we use optimization techniques to search for encoder and decoder circuits that scalably improve sensitivity under given application and noise characteristics.Our approach uses a variational algorithm that can learn a quantum sensing circuit based on platform-specific control capacity, noise, and signal distribution. The quantum circuit is composed of an encoder which prepares the optimal sensing state and a decoder which gives an output distribution containing information of the signal. We optimize the full circuit to maximize the Signal-to-Noise Ratio (SNR). Furthermore, this learning algorithm can be run on real hardware scalably by using the ""parameter-shift"" rule which enables gradient evaluation …",2021-10-17
21,35,https://wrap.warwick.ac.uk/170231/1/WRAP-international-technical-standard-commercial-space-system-cybersecurity-22.pdf,"Despite the significant increase in cyber threats to space systems, structured technical community engagement in space cybersecurity and mission resilience with an emphasis on the systematic advancement of technical guidance is lacking. The international group of co-authors propose the development of a space system cybersecurity technical standard intended for commercial-off-the-shelf (COTS) modular space systems, such as CubeSats.",2022-01-01
22,38,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12180/121806A/Machine-learning-wavefront-sensing-for-the-James-Webb-Space-Telescope/10.1117/12.2630621.pdf,"The fine alignment of the James Webb Space Telescope (JWST)’s 18 primary mirror segments relies on image-based wavefront sensing. Previously a convolutional neural network (CNN) produced phase estimates with around 0.37 waves RMS error, which were adequate as starting guesses for phase retrieval to accurately predict global Zernike coefficients. In contrast, our study uses a CNN to sense segment piston errors between the 18 segments. Our trained CNN model could retrieve segment piston phase errors of ±0.5 waves from a single defocused point-spread function to within 0.02 waves RMS, without the need of additional phase retrieval algorithms.",2022-08-27
23,45,https://arxiv.org/abs/2008.09915,"In stochastic systems, informative approaches select key measurement or decision variables that maximize information gain to enhance the efficacy of model-related inferences. Neural Learning also embodies stochastic dynamics, but informative Learning is less developed. Here, we propose Informative Ensemble Kalman Learning, which replaces backpropagation with an adaptive Ensemble Kalman Filter to quantify uncertainty and enables maximizing information gain during Learning. After demonstrating Ensemble Kalman Learning's competitive performance on standard datasets, we apply the informative approach to neural structure learning. In particular, we show that when trained from the Lorenz-63 system's simulations, the efficaciously learned structure recovers the dynamical equations. To the best of our knowledge, Informative Ensemble Kalman Learning is new. Results suggest that this approach to optimized Learning is promising",2020-08-22
24,46,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636537,"Functional autonomous systems often realize complex tasks by utilizing state machines comprised of discrete primitive behaviors and transitions between these behaviors. This architecture has been widely studied in the context of quasi-static and dynamics-independent systems. However, applications of this concept to dynamical systems are relatively sparse, despite extensive research on individual dynamic primitive behaviors, which we refer to as ""motion primitives."" This paper formalizes a process to determine dynamic-state aware conditions for transitions between motion primitives in the context of safety. The result is framed as a ""motion primitive graph"" that can be traversed by standard graph search and planning algorithms to realize functional autonomy. To demonstrate this framework, dynamic motion primitives— including standing up, walking, and jumping—and the transitions between these behaviors",2021-06-18
25,49,https://arxiv.org/pdf/2305.16291,"We introduce Voyager, the first LLM-powered embodied lifelong learning agent in Minecraft that continuously explores the world, acquires diverse skills, and makes novel discoveries without human intervention. Voyager consists of three key components: 1) an automatic curriculum that maximizes exploration, 2) an ever-growing skill library of executable code for storing and retrieving complex behaviors, and 3) a new iterative prompting mechanism that incorporates environment feedback, execution errors, and self-verification for program improvement. Voyager interacts with GPT-4 via blackbox queries, which bypasses the need for model parameter fine-tuning. The skills developed by Voyager are temporally extended, interpretable, and compositional, which compounds the agent's abilities rapidly and alleviates catastrophic forgetting. Empirically, Voyager shows strong in-context lifelong learning capability and exhibits exceptional proficiency in playing Minecraft. It obtains 3.3x more unique items, travels 2.3x longer distances, and unlocks key tech tree milestones up to 15.3x faster than prior SOTA. Voyager is able to utilize the learned skill library in a new Minecraft world to solve novel tasks from scratch, while other techniques struggle to generalize. We open-source our full codebase and prompts at https://voyager.minedojo.org/.",2023-05-25
26,50,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9790795,"This letter proposes a new structured method for a moving agent to predict the paths of dynamically moving obstacles and avoid them using a risk-aware model predictive control (MPC) scheme. Given noisy measurements of the a priori unknown obstacle trajectory, a bootstrapping technique predicts a set of obstacle trajectories. The bootstrapped predictions are incorporated in the MPC optimization using a risk-aware methodology so as to provide probabilistic guarantees on obstacle avoidance. We validate our methods using simulations of a multi-rotor drone that avoids various moving obstacles.",2022-06-08
27,51,https://arxiv.org/pdf/2311.12385,"In this paper, we present a method of multi-robot motion planning by biasing centralized, sampling-based tree search with decentralized, data-driven steer and distance heuristics. Over a range of robot and obstacle densities, we evaluate the plain Rapidly-expanding Random Trees (RRT), and variants of our method for double integrator dynamics. We show that whereas plain RRT fails in every instance to plan for robots, our method can plan for up to 16 robots, corresponding to searching through a very large 65-dimensional space, which validates the effectiveness of data-driven heuristics at combating exponential search space growth. We also find that the heuristic information is complementary; using both heuristics produces search trees with lower failure rates, nodes, and path costs when compared to using each in isolation. These results illustrate the effective decomposition of high-dimensional joint-space motion planning problems into local problems.",2023-11-21
28,52,https://arxiv.org/pdf/2303.14301.pdf,"We present repliclust (from repli-cate and clust-er), a Python package for generating synthetic data sets with clusters. Our approach is based on data set archetypes, high-level geometric descriptions from which the user can create many different data sets, each possessing the desired geometric characteristics. The architecture of our software is modular and object-oriented, decomposing data generation into algorithms for placing cluster centers, sampling cluster shapes, selecting the number of data points for each cluster, and assigning probability distributions to clusters. The project webpage, repliclust.org, provides a concise user guide and thorough documentation.",2023-03-24
29,53,https://arxiv.org/pdf/1810.05291,"Training neural networks on large datasets can be accelerated by distributing the workload over a network of machines. As datasets grow ever larger, networks of hundreds or thousands of machines become economically viable. The time cost of communicating gradients limits the effectiveness of using such large machine counts, as may the increased chance of network faults. We explore a particularly simple algorithm for robust, communication-efficient learning---signSGD. Workers transmit only the sign of their gradient vector to a server, and the overall update is decided by a majority vote. This algorithm uses  less communication per iteration than full-precision, distributed SGD. Under natural conditions verified by experiment, we prove that signSGD converges in the large and mini-batch settings, establishing convergence for a parameter regime of Adam as a byproduct. Aggregating sign gradients by majority vote means that no individual worker has too much power. We prove that unlike SGD, majority vote is robust when up to 50% of workers behave adversarially. The class of adversaries we consider includes as special cases those that invert or randomise their gradient estimate. On the practical side, we built our distributed training system in Pytorch. Benchmarking against the state of the art collective communications library (NCCL), our framework---with the parameter server housed entirely on one machine---led to a 25% reduction in time for training resnet50 on Imagenet when using 15 AWS p3.2xlarge machines.",2018-10-11
30,54,https://dl.acm.org/doi/pdf/10.1145/3648506,"In this paper, we propose physics-informed neural operators (PINO) that combine training data and physics constraints to learn the solution operator of a given family of parametric Partial Differential Equations (PDE). PINO is the first hybrid approach incorporating data and PDE constraints at different resolutions to learn the operator. Specifically, in PINO, we combine coarse-resolution training data with PDE constraints imposed at a higher resolution. The resulting PINO model can accurately approximate the ground-truth solution operator for many popular PDE families and shows no degradation in accuracy even under zero-shot super-resolution, i.e., being able to predict beyond the resolution of training data. PINO uses the Fourier neural operator (FNO) framework that is guaranteed to be a universal approximator for any continuous operator and discretization convergent in the limit of mesh refinement. By adding …",2021-10-06
31,56,https://ieeexplore.ieee.org/iel7/9926749/9926737/09926883.pdf,"This paper describes Caltech's Space Solar Power Demonstration One (SSPD-1) payload and upcoming mission on Momentus Space Vigoride 5. SSPD-1 is comprised of three experiments each of which demonstrates the performance of a key technology piece in the space environment. We describe the goals of SSPD-1. The three experiments - Alba, DOLCE and MAPLE are discussed. The launch of SSPD-1 is scheduled for November 6, 2022 on Space X's Transporter 6 mission.",2022-10-12
32,59,https://arxiv.org/pdf/2401.15267,"Space solar power (SSP), envisioned for decades as a solution for continuous, stable, and dynamically dispatchable clean energy, has seen tremendous interest and a number of experimental demonstrations in the last few years. A practical implementation has been elusive to date, owing to the high launch costs associated with heavy, rigid photovoltaic (PV) and wireless power transfer (WPT) arrays. Lightweight and flexible solutions for WPT have been demonstrated terrestrially but, to date, have not been deployed and tested in space. In this paper, we present an experimental space demonstration of a lightweight, flexible WPT array powered by custom radio frequency integrated circuits (RFICs). The transmit arrays, receive arrays, and the rest of the system were operated and tested for eight months in Low Earth Orbit (LEO). Results from these experiments, including pointing of the array's beam to Earth and its detection by a ground station, are presented and discussed in detail. Observations and results from this mission uncover existing strengths and weaknesses that inform future steps toward realizing SSP.",2024-01-27
33,63,https://pubmed.ncbi.nlm.nih.gov/36546150/,"A modulated sparse random matrix for high-resolution and high-speed 3D compressive imaging through a multimode fiber A modulated sparse random matrix for high-resolution and high-speed 3D compressive imaging through a multimode fiber Sci Bull (Beijing). 2022 Jun 30;67(12):1224-1228. doi: 10.1016/j.scib.2022.03.017. Epub 2022 Mar 28. Authors Zhenyu Dong 1 , Zhong Wen 1 , Chenlei Pang 2 , Liqiang Wang 3 , Lan Wu 1 , Xu Liu 3 , Qing Yang 4 Affiliations 1 State Key Laboratory of Modern Optical Instrumentation, College of Optical Science and Engineering, International Research Center for Advanced Photonics, Zhejiang University, Hangzhou 310027, China. 2 Research Center for Intelligent Sensing, Zhejiang Lab, Hangzhou 311100, China. 3 State Key Laboratory of Modern Optical Instrumentation, College of Optical Science and Engineering, International Research Center for Advanced Photonics, …",2022-06-30
34,64,https://opg.optica.org/abstract.cfm?uri=oe-28-3-3009,"We reveal the potential of bound states in the continuum (BIC) to enhance the nonlinear response in specialty optical resonators in the presence of gain and loss. We demonstrate this phenomenon in a square core–shell AlGaAs nanowire having a proper engineered spatial variation of gain and loss to sustain quasi–BICs. The presence of these high-quality modes at both fundamental and second-harmonic wavelengths leads to an extremely high enhancement in second harmonic generation, thus preluding a framework to fabricate composite media with high effective nonlinearity.",2020-02-03
35,66,https://opg.optica.org/abstract.cfm?uri=CLEO_SI-2023-SW3L.4,"We implement a 40-pulse, time-multiplexed optical parametric oscillator in thin-film lithium niobate nanophotonics and demonstrate the independent phase behavior of the pulses in the degenerate and non-degenerate regimes, enabling scalable optical computers and complex simulators.",2023-05-07
36,68,https://ieeexplore.ieee.org/iel7/10313338/10313355/10313386.pdf,"This paper presents a framework for Wasserstein distributionally robust (DR) regret-optimal (RO) control in the context of partially observable systems. DR-RO control considers the regret in LQR cost between a causal and non-causal controller and aims to minimize the worst-case regret over all disturbances whose probability distribution is within a certain Wasserstein-2 ball of a nominal distribution. Our work builds upon the full-information DR-RO problem that was introduced and solved in Yan et al., 2023 [1], and extends it to handle partial observability and measurement-feedback (MF). We solve the finite horizon partially observable DR-RO and show that it reduces to a tractable semi-definite program whose size is proportional to the time horizon. Through simulations, the effectiveness and performance of the framework are demonstrated, showcasing its practical relevance to real-world control systems. The …",2023-09-26
37,69,https://arxiv.org/pdf/2304.06771,"Electron-electron (e− e) and electron-phonon (e-ph) interactions are challenging to describe in correlated materials, where their joint effects govern unconventional transport, phase transitions, and superconductivity. Here we combine first-principles e-ph calculations with dynamical mean-field theory (DMFT) as a step toward a unified description of e− e and e-ph interactions in correlated materials. We compute the e-ph self-energy using the DMFT electron Green's function and combine it with the e− e self-energy from DMFT to obtain a Green's function including both interactions. This approach captures the renormalization of quasiparticle dispersion and spectral weight on equal footing. Using our method, we study the e-ph and e− e contributions to the resistivity and spectral functions in the correlated metal Sr 2 RuO 4. In this material, our results show that e− e interactions dominate transport and spectral",2023-09-01
38,76,https://link.aps.org/pdf/10.1103/PhysRevB.103.L161103,"We demonstrate a first-principles method to study magnetotransport in materials by solving the Boltzmann transport equation (BTE) in the presence of an external magnetic field. Our approach employs ab initio electron-phonon interactions and takes spin-orbit coupling into account. We apply our method to various semiconductors (Si and GaAs) and two-dimensional (2D) materials (graphene) as representative case studies. The magnetoresistance, Hall mobility, and Hall factor in Si and GaAs are in very good agreement with experiments. In graphene, our method predicts a large magnetoresistance, consistent with experiments. Analysis of the steady-state electron occupations in graphene shows the dominant role of optical phonon scattering and the breaking of the relaxation time approximation. Our paper provides a detailed understanding of the microscopic mechanisms governing magnetotransport coefficients …",2021-04-07
39,78,https://www.sciencedirect.com/science/article/pii/S0167273813006218,"This study investigates the electrochemical properties of TiO2 nanoparticles that were obtained using molten salt method (MSM) synthesis when applied as anodic material for lithium-ion batteries. TiO2 nanoparticles were synthesized from 0.62LiNO3:0.38LiOH molten salt at 180 °C for 2 h in air followed by reheating at 300 °C for 2 h in air. Another separate sample was prepared in addition to molten salt and urea was added then heated at 180 °C for 2 h. X-ray diffraction studies showed a single anatase phase, with characteristic lattice parameter values of a = 3.81 Å and c = 9.46 Å. Cyclic voltammetry studies on the TiO2 nanoparticles show main cathodic and anodic redox peaks at ~ 1.7 and ~ 1.9 V respectively. Further galvanostatic discharge–charge cycling studies were performed on all samples at a current rate of 30 mA/g. TiO2 nanoparticles synthesized at 180 °C for 2 h and treated with urea delivered a high …",2014-09-01
40,79,https://www.nature.com/articles/s41467-022-30966-5,"Optical microresonators with high quality (Q) factors are essential to a wide range of integrated photonic devices. Steady efforts have been directed towards increasing microresonator Q factors across a variety of platforms. With success in reducing microfabrication process-related optical loss as a limitation of Q, the ultimate attainable Q, as determined solely by the constituent microresonator material absorption, has come into focus. Here, we report measurements of the material-limited Q factors in several photonic material platforms. High-Q microresonators are fabricated from thin films of SiO2, Si3N4, Al0.2Ga0.8As, and Ta2O5. By using cavity-enhanced photothermal spectroscopy, the material-limited Q is determined. The method simultaneously measures the Kerr nonlinearity in each material and reveals how material nonlinearity and ultimate Q vary in a complementary fashion across photonic materials. Besides …",2022-06-09
