course,mentor_id
CS 102 abc: Seminar in Computer Science,36
CS 24: Introduction to Computing Systems,36
EE/Ma/CS 126 ab: Information Theory,36
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,36
CMS/CS/IDS 139: Analysis and Design of Algorithms,36
CS 24: Introduction to Computing Systems,37
CNS/Bi/EE/CS/NB 186: Vision: From Computational Theory to Neuronal Mechanisms,37
CS 132: Web Development,37
CS/IDS 153: Current Topics in Theoretical Computer Science,37
CS 103 abc: Reading in Computer Science,37
CS 176: Computer Graphics Research,38
CS 137: Real-World Algorithm Implementation,38
ME/CS/EE 134: Robotic Systems,38
EE/Ma/CS/IDS 127: Error-Correcting Codes,38
CS 2: Introduction to Programming Methods,38
CS 131: Programming Languages,39
CS 132: Web Development,39
CS/EE/IDS 166: Computational Cameras,39
EE/Ma/CS 126 ab: Information Theory,39
CS/ACM 177 ab: Discrete Differential Geometry: Theory and Applications,39
CS/CNS 174: Computer Graphics Projects,40
CS 4: Fundamentals of Computer Programming,40
EE/Ma/CS/IDS 127: Error-Correcting Codes,40
CS/IDS 142: Distributed Computing,40
CS 124: Operating Systems,40
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,41
CS/Ph 120: Quantum Cryptography,41
CS 11: Computer Language Lab,41
CS 21: Decidability and Tractability,41
CS 1 x: Intermediate Computer Programming,41
CS/CNS/EE/IDS 165: Foundations of Machine Learning and Statistical Inference,42
ME/CS/EE 133 ab: Robotics,42
CS 1 x: Intermediate Computer Programming,42
ME/CS/EE 129: Experimental Robotics,42
HPS/Pl/CS 110: Causation and Explanation,42
CMS/CS/EE/IDS 144: Networks: Structure & Economics,43
CS/CNS/EE 156 ab: Learning Systems,43
CS 141: Hack Society: Projects from the Public Sector,43
EE/CS 10 ab: Introduction to Digital Logic and Embedded Systems,43
CS/CNS/EE/IDS 165: Foundations of Machine Learning and Statistical Inference,43
CS 11: Computer Language Lab,44
CS 2: Introduction to Programming Methods,44
CS 274 abc: Topics in Computer Graphics,44
CS 24: Introduction to Computing Systems,44
CS 38: Algorithms,44
CS/EE 145: Projects in Networking,45
CS 128: Interactive Theorem Proving,45
Ph/CS 219 abc: Quantum Computation,45
CS 22: Data Structures & Parallelism,45
CS/CNS 171: Computer Graphics Laboratory,45
"CS/IDS 162: Data, Algorithms and Society",46
CS/CNS 174: Computer Graphics Projects,46
CS/Ec 149: Algorithmic Economics,46
EE/CS 147: Digital Ventures Design,46
CS 19 ab: Introduction to Computer Science in Industry,46
CS/EE/ME 75 abc: Multidisciplinary Systems Engineering,47
"CS/IDS 162: Data, Algorithms and Society",47
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,47
CS 274 abc: Topics in Computer Graphics,47
EE/CS 10 ab: Introduction to Digital Logic and Embedded Systems,47
CS 280: Research in Computer Science,48
CS 130: Software Engineering,48
Ma/CS 117 abc: Computability Theory,48
CS/IDS 178: Numerical Algorithms and their Implementation,48
CS 101: Special Topics in Computer Science,48
CS 115: Functional Programming,49
CS 11: Computer Language Lab,49
EE/CS/IDS 167: Introduction to Data Compression and Storage,49
CS/Ph 120: Quantum Cryptography,49
CS 152: Introduction to Cryptography,49
CS 179: GPU Programming,50
CS 124: Operating Systems,50
CS/IDS 121: Relational Databases,50
CS 111: Graduate Programming Practicum,50
IDS/ACM/CS 157: Statistical Inference,50
CS 24: Introduction to Computing Systems,51
CS 151: Complexity Theory,51
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,51
CS 280: Research in Computer Science,51
CS 132: Web Development,51
CS 287: Center for the Mathematics of Information Seminar,52
CNS/Bi/EE/CS/NB 186: Vision: From Computational Theory to Neuronal Mechanisms,52
CS/ACM 177 ab: Discrete Differential Geometry: Theory and Applications,52
CNS/Bi/Ph/CS/NB 187: Neural Computation,52
CS 111: Graduate Programming Practicum,52
CS 164: Compilers,53
CS/EE 145: Projects in Networking,53
CS 2: Introduction to Programming Methods,53
CS 132: Web Development,53
EE/CS/MedE 175: Advanced Topics in Digital Design with FPGAs and VHDL,53
CS 22: Data Structures & Parallelism,54
CS 21: Decidability and Tractability,54
CS 180: Master’s Thesis Research,54
CS/IDS 142: Distributed Computing,54
CS 81 abc: Undergraduate Projects in Computer Science,54
ME/CS/EE 133 ab: Robotics,55
CS 137: Real-World Algorithm Implementation,55
CS/ACM 177 ab: Discrete Differential Geometry: Theory and Applications,55
EE/CS/EST 135: Power System Analysis,55
CS 24: Introduction to Computing Systems,55
CS/ACM 177 ab: Discrete Differential Geometry: Theory and Applications,56
CS 19 ab: Introduction to Computer Science in Industry,56
Ma/CS 117 abc: Computability Theory,56
CS 111: Graduate Programming Practicum,56
CS 80 abc: Undergraduate Thesis,56
CNS/Bi/Ph/CS/NB 187: Neural Computation,57
EE/CS 119 abc: Advanced Digital Systems Design,57
CS 24: Introduction to Computing Systems,57
CS 4: Fundamentals of Computer Programming,57
CS 9: Introduction to Computer Science Research,57
CS/EE/IDS 143: Networks: Algorithms & Architecture,58
ME/CS/EE 134: Robotic Systems,58
CS 115: Functional Programming,58
CS 9: Introduction to Computer Science Research,58
CS 128: Interactive Theorem Proving,58
CS 12: Student-Taught Topics in Computing,59
CS/IDS 178: Numerical Algorithms and their Implementation,59
CS 151: Complexity Theory,59
CS/CNS/EE/IDS 159: Advanced Topics in Machine Learning,59
CS 102 abc: Seminar in Computer Science,59
CS 102 abc: Seminar in Computer Science,60
CS 81 abc: Undergraduate Projects in Computer Science,60
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,60
CS/EE/IDS 166: Computational Cameras,60
CS/IDS 142: Distributed Computing,60
CS 101: Special Topics in Computer Science,61
EE/CS/EST 135: Power System Analysis,61
CS 130: Software Engineering,61
CS 180: Master’s Thesis Research,61
CS 103 abc: Reading in Computer Science,61
CS 280: Research in Computer Science,62
CS/EE/IDS 143: Networks: Algorithms & Architecture,62
CS/IDS 153: Current Topics in Theoretical Computer Science,62
Ph/CS 219 abc: Quantum Computation,62
CS 179: GPU Programming,62
CS 179: GPU Programming,63
CS 118: Automata-Theoretic Software Analysis,63
CS/IDS 153: Current Topics in Theoretical Computer Science,63
ME/CS/EE 133 ab: Robotics,63
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,63
EE/Ma/CS 126 ab: Information Theory,64
CS 128: Interactive Theorem Proving,64
CS 151: Complexity Theory,64
ME/CS/EE 133 ab: Robotics,64
IDS/ACM/CS 158: Fundamentals of Statistical Learning,64
CS 12: Student-Taught Topics in Computing,65
CNS/Bi/Ph/CS/NB 187: Neural Computation,65
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,65
CMS/CS/EE/IDS 144: Networks: Structure & Economics,65
IDS/ACM/CS 157: Statistical Inference,65
CS/IDS 153: Current Topics in Theoretical Computer Science,66
CS 102 abc: Seminar in Computer Science,66
ME/CS/EE 133 ab: Robotics,66
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,66
CS 42: Computer Science Education in K-14 Settings,66
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,67
CS/EE/ME 75 abc: Multidisciplinary Systems Engineering,67
CS/EE/IDS 143: Networks: Algorithms & Architecture,67
EE/CS 119 abc: Advanced Digital Systems Design,67
CS 132: Web Development,67
CS 132: Web Development,68
CS 138: Computer Algorithms,68
CS 128: Interactive Theorem Proving,68
CS 116: Reasoning about Program Correctness,68
EE/CNS/CS 148: Advanced Topics in Vision: Large Language and Vision Models,68
CS/Ph 120: Quantum Cryptography,69
Ph/CS 219 abc: Quantum Computation,69
CS 3: Introduction to Software Design,69
EE/CS/MedE 125: Digital Circuit Design with FPGAs and VHDL,69
CS 9: Introduction to Computer Science Research,69
CS 13: Mathematical Foundations of Computer Science,70
CS 24: Introduction to Computing Systems,70
CS 280: Research in Computer Science,70
CNS/Bi/Ph/CS/NB 187: Neural Computation,70
CS/IDS 178: Numerical Algorithms and their Implementation,70
EE/CS/MedE 175: Advanced Topics in Digital Design with FPGAs and VHDL,71
CS 1 x: Intermediate Computer Programming,71
CS/IDS 153: Current Topics in Theoretical Computer Science,71
CS 42: Computer Science Education in K-14 Settings,71
Ph/CS 219 abc: Quantum Computation,71
Ma/CS 117 abc: Computability Theory,72
CS 11: Computer Language Lab,72
CS/IDS 121: Relational Databases,72
CS 164: Compilers,72
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,72
CS 124: Operating Systems,73
CS 12: Student-Taught Topics in Computing,73
CS/IDS 153: Current Topics in Theoretical Computer Science,73
CS 116: Reasoning about Program Correctness,73
ME/CS/EE 134: Robotic Systems,73
CS 12: Student-Taught Topics in Computing,74
CS/EE/ME 75 abc: Multidisciplinary Systems Engineering,74
EE/CS/MedE 175: Advanced Topics in Digital Design with FPGAs and VHDL,74
CS 24: Introduction to Computing Systems,74
IDS/ACM/CS 157: Statistical Inference,74
ME/CS/EE 134: Robotic Systems,75
CS 102 abc: Seminar in Computer Science,75
CS/IDS 142: Distributed Computing,75
CS 80 abc: Undergraduate Thesis,75
CS 1 x: Intermediate Computer Programming,75
CS 179: GPU Programming,76
EE/CS 161: Big Data Networks,76
CS 1 x: Intermediate Computer Programming,76
EE/CS/IDS 160: Fundamentals of Information Transmission and Storage,76
CNS/Bi/Ph/CS/NB 187: Neural Computation,76
HPS/Pl/CS 110: Causation and Explanation,77
CS 128: Interactive Theorem Proving,77
CS 80 abc: Undergraduate Thesis,77
CS 137: Real-World Algorithm Implementation,77
EE/Ma/CS/IDS 136: Information Theory and Applications,77
CS/CNS 171: Computer Graphics Laboratory,78
CS/ACM 177 ab: Discrete Differential Geometry: Theory and Applications,78
CS 1: Introduction to Computer Programming,78
ME/CS/EE 134: Robotic Systems,78
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,78
EE/Ma/CS 126 ab: Information Theory,79
CS 132: Web Development,79
CS 286 abc: Seminar in Computer Science,79
CS 22: Data Structures & Parallelism,79
CS 151: Complexity Theory,79
CS 2: Introduction to Programming Methods,80
EE/CS 119 abc: Advanced Digital Systems Design,80
CS 90: Undergraduate Reading in Computer Science,80
"CS/IDS 162: Data, Algorithms and Society",80
HPS/Pl/CS 110: Causation and Explanation,80
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,81
CS 179: GPU Programming,81
ME/CS/EE 133 ab: Robotics,81
CS 1 x: Intermediate Computer Programming,81
EE/CS 147: Digital Ventures Design,81
CS 42: Computer Science Education in K-14 Settings,82
CS 24: Introduction to Computing Systems,82
CS 9: Introduction to Computer Science Research,82
CS 81 abc: Undergraduate Projects in Computer Science,82
CNS/Bi/Ph/CS/NB 187: Neural Computation,82
CMS/CS/IDS 139: Analysis and Design of Algorithms,83
ME/CS/EE 169: Mobile Robots,83
EE/CNS/CS 148: Advanced Topics in Vision: Large Language and Vision Models,83
EE/CS 119 abc: Advanced Digital Systems Design,83
EE/CS/IDS 167: Introduction to Data Compression and Storage,83
CS/CNS/EE 156 ab: Learning Systems,84
CS 151: Complexity Theory,84
CS 2: Introduction to Programming Methods,84
CS 24: Introduction to Computing Systems,84
EE/CS 161: Big Data Networks,84
CS 90: Undergraduate Reading in Computer Science,85
CS 151: Complexity Theory,85
CS/Ph 120: Quantum Cryptography,85
CS 111: Graduate Programming Practicum,85
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,85
CNS/Bi/EE/CS/NB 186: Vision: From Computational Theory to Neuronal Mechanisms,86
Ma/CS 6/106 abc: Introduction to Discrete Mathematics,86
CS 131: Programming Languages,86
EE/Ma/CS/IDS 127: Error-Correcting Codes,86
IDS/ACM/CS 157: Statistical Inference,86
EE/Ma/CS 126 ab: Information Theory,87
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,87
CS/CNS 174: Computer Graphics Projects,87
EE/Ma/CS/IDS 136: Information Theory and Applications,87
EE/CS/EST 135: Power System Analysis,87
ME/CS/EE 169: Mobile Robots,88
EE/CS/MedE 125: Digital Circuit Design with FPGAs and VHDL,88
CS 4: Fundamentals of Computer Programming,88
CS/CNS/EE/IDS 159: Advanced Topics in Machine Learning,88
EE/CS 161: Big Data Networks,88
EE/Ma/CS 126 ab: Information Theory,89
CS 179: GPU Programming,89
CS 152: Introduction to Cryptography,89
IDS/ACM/CS 157: Statistical Inference,89
CS 24: Introduction to Computing Systems,89
EE/CS/MedE 175: Advanced Topics in Digital Design with FPGAs and VHDL,90
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,90
ME/CS/EE 133 ab: Robotics,90
CS/CNS 174: Computer Graphics Projects,90
EE/CS 10 ab: Introduction to Digital Logic and Embedded Systems,90
CS/IDS 150 ab: Probability and Algorithms,91
CS 24: Introduction to Computing Systems,91
IDS/ACM/CS 158: Fundamentals of Statistical Learning,91
CS 137: Real-World Algorithm Implementation,91
CS 90: Undergraduate Reading in Computer Science,91
CS 137: Real-World Algorithm Implementation,92
CS 19 ab: Introduction to Computer Science in Industry,92
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,92
CS/EE/IDS 166: Computational Cameras,92
CS/IDS 178: Numerical Algorithms and their Implementation,92
CS 3: Introduction to Software Design,93
EE/CS 161: Big Data Networks,93
ME/CS/EE 129: Experimental Robotics,93
CS 274 abc: Topics in Computer Graphics,93
CS 21: Decidability and Tractability,93
CS 2: Introduction to Programming Methods,94
CS/IDS 153: Current Topics in Theoretical Computer Science,94
CS 81 abc: Undergraduate Projects in Computer Science,94
CS/EE 146: Control and Optimization of Networks,94
CS/Ec 149: Algorithmic Economics,94
CS 132: Web Development,95
CS 1 x: Intermediate Computer Programming,95
CS 4: Fundamentals of Computer Programming,95
CS/IDS 121: Relational Databases,95
CS 280: Research in Computer Science,95
CS 141: Hack Society: Projects from the Public Sector,96
IDS/ACM/CS 157: Statistical Inference,96
ME/CS/EE 169: Mobile Robots,96
EE/CS 147: Digital Ventures Design,96
CS 137: Real-World Algorithm Implementation,96
CS 101: Special Topics in Computer Science,97
CS 38: Algorithms,97
CS/IDS 150 ab: Probability and Algorithms,97
CMS/CS/IDS 139: Analysis and Design of Algorithms,97
EE/CS/IDS 160: Fundamentals of Information Transmission and Storage,97
CS 102 abc: Seminar in Computer Science,98
IDS/ACM/CS 157: Statistical Inference,98
ME/CS/EE 133 ab: Robotics,98
CS 24: Introduction to Computing Systems,98
EE/CNS/CS 148: Advanced Topics in Vision: Large Language and Vision Models,98
CS 180: Master’s Thesis Research,99
ME/CS/EE 134: Robotic Systems,99
CS/CNS/EE/IDS 159: Advanced Topics in Machine Learning,99
CS 3: Introduction to Software Design,99
CS 130: Software Engineering,99
CS 128: Interactive Theorem Proving,100
CS/EE/ME 75 abc: Multidisciplinary Systems Engineering,100
CS 81 abc: Undergraduate Projects in Computer Science,100
CS 24: Introduction to Computing Systems,100
HPS/Pl/CS 110: Causation and Explanation,100
EE/CS 161: Big Data Networks,101
CS 80 abc: Undergraduate Thesis,101
EE/Ma/CS 126 ab: Information Theory,101
EE/CS/MedE 125: Digital Circuit Design with FPGAs and VHDL,101
CS 164: Compilers,101
EE/CS 147: Digital Ventures Design,102
CS 141: Hack Society: Projects from the Public Sector,102
CS 13: Mathematical Foundations of Computer Science,102
CS 116: Reasoning about Program Correctness,102
CS/CNS/EE/IDS 165: Foundations of Machine Learning and Statistical Inference,102
CS/CNS 174: Computer Graphics Projects,103
Ma/CS 117 abc: Computability Theory,103
EE/CS 161: Big Data Networks,103
CS/EE/IDS 143: Networks: Algorithms & Architecture,103
Ph/CS 219 abc: Quantum Computation,103
CS 274 abc: Topics in Computer Graphics,104
CS 81 abc: Undergraduate Projects in Computer Science,104
CS 141: Hack Society: Projects from the Public Sector,104
CS/CNS 174: Computer Graphics Projects,104
CS 282 abc: Reading in Computer Science,104
CS/CNS/EE 156 ab: Learning Systems,105
CS 132: Web Development,105
CS/EE 145: Projects in Networking,105
CS/CNS/EE/IDS 165: Foundations of Machine Learning and Statistical Inference,105
CMS/CS/IDS 139: Analysis and Design of Algorithms,105
CS/CNS/EE/IDS 159: Advanced Topics in Machine Learning,106
CS 124: Operating Systems,106
CS 137: Real-World Algorithm Implementation,106
CS 164: Compilers,106
CS 132: Web Development,106
ME/CS/EE 134: Robotic Systems,107
CS 116: Reasoning about Program Correctness,107
Ec/ACM/CS 112: Bayesian Statistics,107
EE/CS/MedE 175: Advanced Topics in Digital Design with FPGAs and VHDL,107
CS 130: Software Engineering,107
EE/CS 10 ab: Introduction to Digital Logic and Embedded Systems,108
CS/Ec 149: Algorithmic Economics,108
CS 152: Introduction to Cryptography,108
CS/IDS 153: Current Topics in Theoretical Computer Science,108
EE/CS/IDS 167: Introduction to Data Compression and Storage,108
CS 12: Student-Taught Topics in Computing,109
ME/CS/EE 133 ab: Robotics,109
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,109
IDS/ACM/CS 157: Statistical Inference,109
CS 90: Undergraduate Reading in Computer Science,109
CMS/CS/EE/IDS 144: Networks: Structure & Economics,110
CS 116: Reasoning about Program Correctness,110
CS/Ec 149: Algorithmic Economics,110
EE/CS/IDS 160: Fundamentals of Information Transmission and Storage,110
CNS/Bi/EE/CS/NB 186: Vision: From Computational Theory to Neuronal Mechanisms,110
CS/CNS 174: Computer Graphics Projects,111
CS/IDS 153: Current Topics in Theoretical Computer Science,111
CS 116: Reasoning about Program Correctness,111
CMS/CS/CNS/EE/IDS 155: Machine Learning & Data Mining,111
CS 101: Special Topics in Computer Science,111
CS 274 abc: Topics in Computer Graphics,112
Ma/CS 6/106 abc: Introduction to Discrete Mathematics,112
CS 90: Undergraduate Reading in Computer Science,112
CS 151: Complexity Theory,112
CS/EE/IDS 166: Computational Cameras,112
EE/CS/IDS 160: Fundamentals of Information Transmission and Storage,113
CS 152: Introduction to Cryptography,113
CS 1: Introduction to Computer Programming,113
EE/CS 147: Digital Ventures Design,113
ME/CS/EE 133 ab: Robotics,113
CS 151: Complexity Theory,114
CS 11: Computer Language Lab,114
Bi/BE/CS 183: Introduction to Computational Biology and Bioinformatics,114
CS/Ec 149: Algorithmic Economics,114
CS/CNS 171: Computer Graphics Laboratory,114
CS 19 ab: Introduction to Computer Science in Industry,115
Ph/CS 219 abc: Quantum Computation,115
CS 176: Computer Graphics Research,115
CMS/CS/IDS 139: Analysis and Design of Algorithms,115
CS/IDS 150 ab: Probability and Algorithms,115
CS/CNS/EE 156 ab: Learning Systems,116
EE/Ma/CS/IDS 136: Information Theory and Applications,116
CS 180: Master’s Thesis Research,116
CS 176: Computer Graphics Research,116
CS 124: Operating Systems,116
CS 116: Reasoning about Program Correctness,117
CS 124: Operating Systems,117
CS 42: Computer Science Education in K-14 Settings,117
CS 180: Master’s Thesis Research,117
CS 80 abc: Undergraduate Thesis,117
CS 152: Introduction to Cryptography,118
BE/CS/CNS/Bi 191 ab: Biomolecular Computation,118
Ma/CS 6/106 abc: Introduction to Discrete Mathematics,118
CMS/CS/IDS 139: Analysis and Design of Algorithms,118
BE/CS 196 ab: Design and Construction of Programmable Molecular Systems,118
CS/IDS 178: Numerical Algorithms and their Implementation,119
CS 24: Introduction to Computing Systems,119
CS 90: Undergraduate Reading in Computer Science,119
CS/IDS 153: Current Topics in Theoretical Computer Science,119
CS 1 x: Intermediate Computer Programming,119
CS 42: Computer Science Education in K-14 Settings,120
CS 4: Fundamentals of Computer Programming,120
CS 80 abc: Undergraduate Thesis,120
CS/EE/IDS 166: Computational Cameras,120
ME/CS/EE 133 ab: Robotics,120
CS 4: Fundamentals of Computer Programming,121
EE/CS 10 ab: Introduction to Digital Logic and Embedded Systems,121
CS 287: Center for the Mathematics of Information Seminar,121
CS/EE/IDS 166: Computational Cameras,121
CS/Ph 120: Quantum Cryptography,121
